,0
failures,0.40001177742315486
higher_yes,0.18048356807261712
school_MS,0.12676037271469012
Walc,0.11713621694671311
famsize_LE3,0.07050356442573513
famrel,0.03667806622672309
freetime,0.03454890708883075
absences,0.020451727695500205
Medu,0.008904855151686809
address_U,0.004520944254348701
